name,,date,salary,team,opposing team,score,value,conesensus,avg fp,opp pitcher,hitting grade,hitting grade,savant grade,avg exit velo,hard hit %,barrel %,ops,slg,opp pitcher era,opp pitcher grade,team r/g
Luis Garcia,2B/UTL,"July 31, 2023",2600,WSN,MIL,0,3.4,7.16,8.41,Corbin Burnes,MIL,52.275,48,88.6,38.1,6.6,0.676,0.373,3.73,70.9,4.2
Bo Naylor,C1B/UTL,"July 31, 2023",2600,CLE,HOU,12.5,3.4,7.6,7.89,J.P. France,HOU,33.75,40.5,89.3,33.3,5.6,0.636,0.357,3.31,51.1,4
Brandon Crawford,SS/UTL,"July 31, 2023",2400,SFG,ARI,6.7,3.4,8.63,6.81,Ryne Nelson,ARI,30.175,65.6,89.4,39.2,9.1,0.618,0.333,4.98,33.1,4.7
Gabriel Arias,C1B/3B/SS/UTL,"July 31, 2023",2300,CLE,HOU,12.2,3.4,8.11,3.78,J.P. France,HOU,26.3,50.4,90,40.2,6.9,0.598,0.307,3.31,51.1,4
Colton Cowser,OF/UTL,"July 31, 2023",2200,BAL,TOR,0,3.4,7.55,5.39,Chris Bassitt,TOR,28.275,0,87.3,50,0,0.5,0.143,4.12,53.9,5
Corey Dickerson,OF/UTL,"July 31, 2023",2100,WSN,MIL,9.2,3.4,6.72,5.13,Corbin Burnes,MIL,35.875,31.4,87.7,25,4.3,0.62,0.345,3.73,70.9,4.2
Jose Herrera,C1B/UTL,"July 31, 2023",2000,ARI,SF,3,3.4,5.74,5.42,Jakob Junis,SF,53.95,0,85.5,24.4,0,0.671,0.327,4.55,60,4.9
Jose Ramirez,3B/UTL,"July 31, 2023",3900,CLE,HOU,12,3.3,11.59,12.47,J.P. France,HOU,87.1,53.1,89.1,38.4,7.3,0.851,0.493,3.31,51.1,4
Matt McLain,SS/2B/UTL,"July 31, 2023",3900,CIN,CHC,3,3.3,10.7,13.08,Marcus Stroman,CHC,90.15,78,89.1,41.6,11.7,0.869,0.504,2.88,75.4,4.9
Mickey Moniak,OF/UTL,"July 31, 2023",3400,LAA,ATL,0,3.3,9.72,11.47,Charlie Morton,ATL,94.125,91.8,88.1,36.1,15.5,0.99,0.632,3.2,71.9,5
Ezequiel Tovar,SS/UTL,"July 31, 2023",3200,COL,SD,3,3.3,10.68,8.69,Seth Lugo,SD,59.9,53.9,88.3,36.8,7.4,0.722,0.426,3.78,64.9,4.4
TJ Friedl,OF/UTL,"July 31, 2023",3200,CIN,CHC,15.2,3.3,9.98,9.99,Marcus Stroman,CHC,83.65,17.5,86.1,24.8,1.5,0.808,0.44,2.88,75.4,4.9
Cal Raleigh,C1B/UTL,"July 31, 2023",3100,SEA,BOS,37.4,3.3,9.61,8.73,Nick Pivetta,BOS,49.975,78.5,89.1,39.5,11.8,0.711,0.41,4.83,55.7,4.5
Michael Toglia,C1B/UTL,"July 31, 2023",3000,COL,SD,3.2,3.3,9.92,6.24,Seth Lugo,SD,17.225,0,85.4,26.3,0,0.536,0.31,3.78,64.9,4.4
Willy Adames,SS/UTL,"July 31, 2023",3000,MIL,WSH,6,3.3,11.62,9.25,Jake Irvin,WSH,47.15,87.3,87.1,35.3,13.8,0.706,0.411,4.96,27.7,4.2
Brenton Doyle,OF/UTL,"July 31, 2023",2800,COL,SD,6.2,3.3,8.47,7.38,Seth Lugo,SD,30.9,72.9,88.9,41.2,10.5,0.624,0.354,3.78,64.9,4.4
Emmanuel Rivera,3B/C1B/UTL,"July 31, 2023",2700,ARI,SF,9.5,3.3,8,8.22,Jakob Junis,SF,56.375,48,91.3,50,6.6,0.676,0.365,4.55,60,4.9
Joey Wiemer,OF/UTL,"July 31, 2023",2500,MIL,WSH,18.7,3.3,9.37,7.62,Jake Irvin,WSH,42.1,74.9,88.9,37.5,10.9,0.684,0.39,4.96,27.7,4.2
Trey Mancini,C1B/OF/UTL,"July 31, 2023",2300,CHC,CIN,3,3.3,7.46,6.41,Andrew Abbott,CIN,43.625,30.2,89,42.4,4.2,0.652,0.344,2.45,81.4,4.7
Luke Maile,C1B/UTL,"July 31, 2023",2300,CIN,CHC,13,3.3,6.73,5.01,Marcus Stroman,CHC,33.8,79.9,86.8,25.8,12.1,0.644,0.379,2.88,75.4,4.9
Ryan McMahon,2B/3B/UTL,"July 31, 2023",3900,COL,SD,28.2,3.2,11.27,10.22,Seth Lugo,SD,72.75,80.8,91.4,46.1,12.3,0.791,0.457,3.78,64.9,4.4
Wander Franco,SS/UTL,"July 31, 2023",3600,TBR,NYY,18.7,3.2,13.49,11.54,Jhony Brito,NYY,79.125,45.2,89,39.3,6.3,0.797,0.456,4.7,32.6,5.4
Randy Arozarena,OF/UTL,"July 31, 2023",3500,TBR,NYY,0,3.2,12.12,11.34,Jhony Brito,NYY,86.025,90.6,93.2,51.9,14.8,0.848,0.463,4.7,32.6,5.4
Triston Casas,C1B/UTL,"July 31, 2023",3400,BOS,SEA,3,3.2,9,9.28,George Kirby,SEA,64.75,87.1,91.6,47,13.7,0.767,0.434,3.43,71.2,5
Marcell Ozuna,OF/UTL,"July 31, 2023",3300,ATL,LAA,3,3.2,10.3,9.97,Chase Silseth,LAA,66.325,87.3,90.8,44.8,13.8,0.778,0.458,3.99,70,5.6
Matt Chapman,3B/UTL,"July 31, 2023",3300,TOR,BAL,3,3.2,9.99,10.17,Kyle Gibson,BAL,79.125,94.6,93.9,58.5,17.9,0.814,0.466,4.77,45.5,4.6
Jose Siri,OF/UTL,"July 31, 2023",3200,TBR,NYY,0,3.2,10.52,10.59,Jhony Brito,NYY,56.775,94.2,88.9,39.5,17.1,0.792,0.528,4.7,32.6,5.4
Anthony Rizzo,C1B/UTL,"July 31, 2023",2800,NYY,TB,3,3.2,9.42,8.72,Tyler Glasnow,TB,65.175,53.9,90.2,38.8,7.4,0.74,0.396,3.78,76.2,4.4
Connor Wong,C1B/UTL,"July 31, 2023",2700,BOS,SEA,9.2,3.2,6.9,7.07,George Kirby,SEA,47.775,67.9,89.3,35.8,9.5,0.691,0.4,3.43,71.2,5
Anthony Volpe,SS/UTL,"July 31, 2023",2700,NYY,TB,3,3.2,7.93,8.46,Tyler Glasnow,TB,37.15,65.6,89.6,45.7,9.1,0.664,0.382,3.78,76.2,4.4
Luis Matos,OF/UTL,"July 31, 2023",2500,SFG,ARI,6,3.2,7.63,6.82,Ryne Nelson,ARI,52.975,30.2,86.2,33.8,4.2,0.667,0.333,4.98,33.1,4.7
